review,rating,date,source,sentiment_label,sentiment_score,topics
I came here to tell the truth,5,2025-07-21 00:06:31-07:00,App Store,POSITIVE,0.971158862113953,['the truth']
"And I’m so glad I did! I’m broke for the time being, but when I get back on my feet, I will be purchasing a membership. The articles and writers are amazing! Very impressed.",5,2025-07-20 20:54:33-07:00,App Store,POSITIVE,0.999866008758545,"['the time being', 'my feet', 'a membership', 'the articles', 'writers']"
"I don't want to be annoyed with content notifications in my phone, my content selections is what other apps take care of on my laptop. Plus, it didn't even show existing selections from my account. Either way, you can not continue into the app after installing and logging in without making selections and you can't comment on content from your phone without the app. #fail",2,2025-07-19 08:34:01-07:00,App Store,NEGATIVE,-0.997951328754425,"['content notifications', 'my phone', 'my content selections', 'other apps', 'care', 'my laptop', 'existing selections', 'my account', 'the app', 'selections', 'content', 'your phone', 'the app']"
Well written short article. Creative good ideas for daily use of AI,5,2025-07-19 07:12:28-07:00,App Store,POSITIVE,0.999784529209137,"['well written short article', 'creative good ideas', 'daily use']"
Great place to journal,5,2025-07-18 10:26:02-07:00,App Store,POSITIVE,0.999875903129578,['great place']
"TLDR: fix the all-caps glitch, make it simpler to return a published story to draft form, allow “select” tool to copy more than one graph at a time … then it’s fantastic. 

I do love being able to do so much of my work from these teensy handheld computers—write and edit while waiting for soccer practice to end or from the stairclimber! So thank you. I do appreciate this app. However there are frustrating glitches such as the ALL CAPS glitch, where for unknown reasons all text appears capitalized. Also I once accidentally published a story. I needed to make the story not public but the only option from the app was to delete the story entirely. OK, I figured I would “select all” and copy my text into notes and delete then paste the draft back together from my notebook, but the app only allows you to select one graph at a time. So I would have had to copy paste like a hundred paragraphs. I wound up having to race home to my laptop,  the horror of an unfinished draft sitting there live for all to read weighing down on me!",3,2025-07-16 14:35:43-07:00,App Store,NEGATIVE,-0.990785837173462,"['a published story', 'form', '“select” tool', 'more than one graph', 'a time', 'love', 'my work', 'these teensy handheld computers', 'soccer practice', 'the stairclimber', 'this app', 'frustrating glitches', 'the all caps', 'unknown reasons', 'all text', 'a story', 'the story', 'the only option', 'the app', 'the story', 'my text', 'notes', 'the draft', 'my notebook', 'the app', 'one graph', 'a time', 'paste', 'a hundred paragraphs', 'my laptop', 'the horror']"
I want out,1,2025-07-15 14:37:40-07:00,App Store,NEGATIVE,-0.98583859205246,[]
Great reads❣️,5,2025-07-09 17:23:52-07:00,App Store,POSITIVE,0.999769270420075,[]
Interesting,5,2025-07-09 06:37:43-07:00,App Store,POSITIVE,0.999844670295715,[]
"I love all the features of this app! 

I have grown a loyal community that’s a mix of writers and readers. 

Medium has been a blessing to me in so many ways. I have made friends, connected with people on a deeper level, and have even earned income from my contributions to the community. 

Also, I love that Medium doesn’t 
reward AI content. They are expecting really human stories from real human writers. That is very respectable!",5,2025-07-08 12:34:56-07:00,App Store,POSITIVE,0.998453855514526,"['all the features', 'this app', 'a loyal community', 'a mix', 'writers', 'readers', 'medium', 'a blessing', 'so many ways', 'friends', 'people', 'a deeper level', 'income', 'my contributions', 'the community', 'that medium', 'n’t \nreward', 'really human stories', 'real human writers']"
A major new talent takes the stage with Bostons old combat zone being the backdrop to this very witty and campy offering by Mr Blauner,5,2025-07-07 03:30:38-07:00,App Store,POSITIVE,0.999329924583435,"['a major new talent', 'the stage', 'bostons old combat zone', 'the backdrop', 'this very witty and campy offering', 'mr blauner']"
"This is a scam sight. Tried to read a story, paid the monthly fee but, the story link kept throwing into a loop with “nude chat” and “your iPhone is infected” all INSIDE THE APP!  Don’t waste your money or your storage space!",1,2025-07-04 16:24:02-07:00,App Store,NEGATIVE,-0.999116122722626,"['a scam sight', 'a story', 'the monthly fee', 'the story link', 'a loop', 'nude chat', 'your iphone', 'the app', 'your money', 'your storage space']"
Bad,1,2025-07-04 06:55:09-07:00,App Store,NEGATIVE,-0.999782383441925,[]
"I would not recommend this to anyone. They manipulate the data so you can’t even be sure what is happening. They reset the stats and remove progress, engagement. If you don’t fit into their box of good enough, they don’t pay you. Even if people are reading your content. They will not communicate with you either. This website exploits their users. Nobody wins here unless you fit into their box. So if you think you’ll be up to their standards they may take advantage of you less. Seems to me the vast majority of peoples writing never gets seen and will never receive any kind of payment or feedback",1,2025-07-02 00:39:47-07:00,App Store,NEGATIVE,-0.999641299247742,"['the data', 'the stats', 'progress', 'engagement', 'their box', 'people', 'your content', 'this website', 'their users', 'their box', 'their standards', 'advantage', 'the vast majority', 'peoples', 'any kind', 'payment', 'feedback']"
I adore this app!,5,2025-06-28 22:40:43-07:00,App Store,POSITIVE,0.99971729516983,['this app']
It’s been a great outlet and therapeutic source for expressing my emotions and also making great connections with other writers.,5,2025-06-28 11:10:27-07:00,App Store,POSITIVE,0.999817073345184,"['a great outlet', 'therapeutic source', 'my emotions', 'great connections', 'other writers']"
For curated content,5,2025-06-28 05:19:30-07:00,App Store,POSITIVE,0.997550666332245,['curated content']
"If you love reading, writing, creating, creativity, and want a new design infrastructure to relate to others. Well, this app is for you. Thank you medium.",5,2025-06-27 11:30:13-07:00,App Store,POSITIVE,0.99982362985611,"['reading', 'writing', 'creativity', 'a new design infrastructure', 'this app']"
Put together my first article today and it was easy to upload.,5,2025-06-25 21:52:54-07:00,App Store,POSITIVE,0.991909682750702,['my first article']
Medium he’s allowed me to pursue my writing. I was never very good at punctuation and grammar but I don’t care! I can now use Medium as my writing platform.,5,2025-06-22 05:10:05-07:00,App Store,NEGATIVE,-0.978277564048767,"['medium', 'my writing', 'punctuation', 'grammar', 'medium', 'my writing platform']"
Simple and easy to navigate 🚀,5,2025-06-20 14:30:20-07:00,App Store,POSITIVE,0.999766886234283,['simple and easy to navigate 🚀']
