review,rating,date,source,sentiment_label,sentiment_score,topics
Ok,5,2025-07-20 10:36:14-07:00,App Store,POSITIVE,0.9997851252555847,[]
"I dont have a words to express my feeling, when i get some low bgm from insta reels with shazam.",5,2025-07-08 22:33:59-07:00,App Store,NEGATIVE,-0.9991470575332642,"['a words', 'my feeling', 'some low bgm', 'insta reels', 'shazam']"
Been using it ever since it came into existence. However it is unable to still identify a lot of music out there. Also Apple Music lacks to integrate all Shazam music in its playlists/ collections,4,2025-07-03 22:03:41-07:00,App Store,NEGATIVE,-0.999315619468689,"['existence', 'a lot', 'music', 'apple music', 'all shazam music', 'its playlists/ collections']"
Very often I m not informed the name of the film/album. The very purpose of this app is lost thn😓😓,3,2025-07-03 05:59:37-07:00,App Store,NEGATIVE,-0.9997157454490662,"['the name', 'the film/album', 'the very purpose', 'this app', 'thn😓😓']"
Most useful music recognising app,5,2025-06-27 05:02:46-07:00,App Store,POSITIVE,0.9978341460227966,"['most useful music', 'app']"
More than expected! I can find songs within seconds. Thank you for this amazing app 😍,5,2025-06-27 03:49:39-07:00,App Store,POSITIVE,0.9997739195823669,"['songs', 'seconds', 'this amazing app 😍']"
My best app,5,2025-06-19 12:05:05-07:00,App Store,POSITIVE,0.9997714161872864,['my best app']
Great search engine,4,2025-06-17 07:28:01-07:00,App Store,POSITIVE,0.9997546076774597,['great search engine']
Shaped my life,5,2025-06-07 11:57:06-07:00,App Store,POSITIVE,0.9997081160545349,['my life']
Goood,5,2025-06-03 09:51:30-07:00,App Store,NEGATIVE,-0.9943867921829224,['goood']
The app doesn’t sync music to apple music if you search songs from the control centre,4,2025-06-01 11:55:27-07:00,App Store,NEGATIVE,-0.9996618032455444,"['the app', 'apple music', 'songs', 'the control centre']"
I have been using Shazam. It has been really helpful and great for me.,5,2025-05-31 21:53:28-07:00,App Store,POSITIVE,0.9998002648353577,['shazam']
Pretty good app!,5,2025-05-29 15:52:48-07:00,App Store,POSITIVE,0.9998655319213867,['pretty good app']
Are you trying to make this a paid system by offering 10% of what you did before for free and charging the customer for new data?,1,2025-05-28 08:53:27-07:00,App Store,NEGATIVE,-0.999131977558136,"['10%', 'the customer', 'new data']"
It isnt able to find even a single song,1,2025-05-21 09:36:20-07:00,App Store,NEGATIVE,-0.9996631145477295,['even a single song']
I always wanted to work for Shazam. It just was easier to listen to the music. Thank you Shazam.,5,2025-05-19 23:47:24-07:00,App Store,POSITIVE,0.998887836933136,"['shazam', 'the music']"
It could be really helpfull for most of the time... bt sone times sone little part are not worth to stay with the time of shazzam... if that could be fixed i'll be happy.,5,2025-05-17 22:11:21-07:00,App Store,NEGATIVE,-0.9995784163475037,"['the time', 'little part', 'the time', 'shazzam']"
It hss been crashing for past two days ive reinstalled it too wat thr hell is wrong i hope this is taken care if,1,2025-05-17 05:53:11-07:00,App Store,NEGATIVE,-0.9929822683334351,"['past two days', 'thr hell', 'care']"
"It works. It’s perfect. Sometimes it recognises the wrong song, but similar melody it works and it’s just another opportunity for me to find more music even when it gets it wrong so I love this app. Just wish it went without ads and it went back to being paid in on the App Store, like it used to be, I don’t want ads in my experience. I wish there was a way to get rid of them by paying money.",5,2025-05-17 05:31:08-07:00,App Store,NEGATIVE,-0.9916291236877441,"['the wrong song', 'just another opportunity', 'more music', 'this app', 'ads', 'the app store', 'ads', 'my experience', 'a way', 'money']"
Just horrifyingly bad experience,1,2025-05-17 01:45:35-07:00,App Store,NEGATIVE,-0.9998170733451843,['just horrifyingly bad experience']
"It’s a wonderful app. The idea of giving details is very useful. 
Many time you are listening to the music but enable to recollect details. You can do this with this app. 
And it is very realisable.",4,2025-05-11 09:09:43-07:00,App Store,POSITIVE,0.9998366832733154,"['a wonderful app', 'the idea', 'details', 'the music', 'details', 'this app']"
Ngl Str up Fire,5,2025-05-11 05:51:21-07:00,App Store,NEGATIVE,-0.9836175441741943,"['ngl', 'fire']"
Excellent app,5,2025-05-09 01:17:57-07:00,App Store,POSITIVE,0.9998356103897095,['excellent app']
"Whenever I open the app, it crashes. Kindly fix the bug.",4,2025-04-27 23:37:18-07:00,App Store,NEGATIVE,-0.9987686276435852,"['the app', 'the bug']"
My all time loveble magical app…,5,2025-04-27 05:17:45-07:00,App Store,POSITIVE,0.9994155168533325,['my all time loveble magical app']
Ligma,5,2025-04-17 08:51:27-07:00,App Store,NEGATIVE,-0.9970621466636658,['ligma']
Darbdar,4,2025-04-14 10:06:44-07:00,App Store,NEGATIVE,-0.9418744444847107,['darbdar']
Do,5,2025-04-09 14:58:32-07:00,App Store,POSITIVE,0.9962511658668518,[]
Need 1st  and perfect accuracy,5,2025-04-05 08:04:25-07:00,App Store,POSITIVE,0.658619225025177,"['1st', 'perfect accuracy']"
Nice app and simple to use,5,2025-04-01 09:24:54-07:00,App Store,POSITIVE,0.9997691512107849,['nice app']
Not precise,1,2025-03-24 10:30:58-07:00,App Store,NEGATIVE,-0.9997760653495789,[]
Maal app hai maal,5,2025-03-23 23:25:59-07:00,App Store,NEGATIVE,-0.886451005935669,['maal app hai maal']
Fantastic,5,2025-03-19 05:57:45-07:00,App Store,POSITIVE,0.9998743534088135,['fantastic']
Thank you,5,2025-03-18 00:20:01-07:00,App Store,POSITIVE,0.9998352527618408,[]
"99% can catch all music known to man kind , if it was ever played on a speaker",5,2025-03-14 05:24:31-07:00,App Store,POSITIVE,0.9726418256759644,"['99%', 'all music', 'man', 'a speaker']"
The best,5,2025-03-08 03:00:30-07:00,App Store,POSITIVE,0.9998332262039185,[]
"After enabling the sync for the Shazam’ed songs to appear in Apple music, if you delete the Shazam app. It stops the sync too. With the Shazam action built into the iOS control centre, the sync should not require to have the app installed.",4,2025-03-06 05:59:29-07:00,App Store,NEGATIVE,-0.9928718209266663,"['the sync', 'the shazam’ed songs', 'apple music', 'the shazam app', 'the sync', 'the shazam action', 'the ios control centre', 'the sync', 'the app']"
Good,5,2025-03-01 20:49:48-07:00,App Store,POSITIVE,0.9998161196708679,[]
Nice app😍,5,2025-02-28 07:56:20-07:00,App Store,POSITIVE,0.9998424053192139,['nice app😍']
Great return once you have invested,5,2025-02-27 20:28:04-07:00,App Store,POSITIVE,0.9996366500854492,['great return']
SHAZAM!,5,2025-02-15 22:41:09-07:00,App Store,POSITIVE,0.9985602498054504,['shazam']
Really helpful for the music lovers,5,2025-02-15 09:32:12-07:00,App Store,POSITIVE,0.999687910079956,['the music lovers']
Beautiful love love love,5,2025-02-10 22:10:58-07:00,App Store,POSITIVE,0.9998456239700317,['beautiful love love love']
"I have been trying to identify a track played on the radio however Shazam has been throwing up various different artists as I keep trying - the track I was trying to identify is Memory by Jahaan Shah correctly identified by a friend later. Shazam generally works well, however this time was out of sync @shazam tech team - hope you would make the necessary changes to identify this track for other Shazam users.",3,2025-02-02 23:35:53-07:00,App Store,NEGATIVE,-0.96090167760849,"['a track', 'the radio', 'shazam', 'various different artists', 'the track', 'memory', 'jahaan shah', 'a friend', 'shazam', 'this time', 'the necessary changes', 'this track', 'other shazam users']"
"There’s no sufficient collection , volume control options and not found any tracks",1,2025-02-01 23:14:37-07:00,App Store,NEGATIVE,-0.9997093081474304,"['no sufficient collection', 'volume control options', 'any tracks']"
Almost instantly I can find out the song ! Five stars from me,5,2025-02-01 20:09:37-07:00,App Store,POSITIVE,0.9993948936462402,"['the song', 'five stars']"
