review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
good app for overview of prices within my area,4,2025-07-29 04:43:14,Google Play,POSITIVE,0.9997045397758484,"['good app', 'overview', 'prices', 'my area']",neutral,"{'good app': 'Positive', 'overview': 'Positive', 'prices': 'Positive', 'my area': 'Neutral'}",review
"app: ""most complete source of real estate data in Canada"" also app: *has only three provinces*",1,2025-07-28 10:43:48,Google Play,NEGATIVE,-0.9042299389839172,"['app', 'most complete source', 'real estate data', 'canada', 'also app', 'only three provinces']",surprise,"{'app': 'Neutral', 'most complete source': 'Positive', 'real estate data': 'Positive', 'canada': 'Neutral', 'also app': 'Neutral', 'only three provinces': 'Neutral'}",review
"i sent out multiple requests to schedule viewings for multiple properties. i wanted to rent out asap.not a single call back, not one viewing. either they are racist towards Asian renters or just not bothered unless you wanna buy and not lease. How is it possible that NOT ONE viewing request was responded to? Pathetic, unprofessional and useless app.",1,2025-07-26 23:29:07,Google Play,NEGATIVE,-0.9996868371963501,"['multiple requests', 'viewings', 'multiple properties', 'a single call', 'asian renters', 'not one viewing request', 'pathetic, unprofessional and useless app']",anger,"{'multiple requests': 'Negative', 'viewings': 'Negative', 'multiple properties': 'Neutral', 'a single call': 'Negative', 'asian renters': 'Negative', 'not one viewing request': 'Negative', 'pathetic, unprofessional and useless app': 'Negative'}",feature_request
"great app, but filtering could be better. I have 2 suggestions regarding the filtering. 1- Add an option to exclude those properties that we already marked as Not Interested so they won't be shown in the list/map view. 2- Same as website, filtering by front lot size could be more precise. In the website, we can choose more than 35 feet, but in the app, it's either 30 or 40 feet. Then I will for sure change my rating to 5 starts. Thanks.",4,2025-07-25 22:10:05,Google Play,NEGATIVE,-0.9862738251686096,"['great app', 'filtering', '2 suggestions', 'the filtering', 'an option', 'those properties', 'the list/map view', 'website', 'front lot size', 'the website', 'more than 35 feet', 'the app', 'either 30 or 40 feet', 'my rating', '5 starts', 'thanks']",neutral,"{'great app': 'Positive', 'filtering': 'Negative', '2 suggestions': 'Negative', 'the filtering': 'Negative', 'an option': 'Negative', 'those properties': 'Negative', 'the list/map view': 'Negative', 'website': 'Neutral', 'front lot size': 'Negative', 'the website': 'Neutral', 'more than 35 feet': 'Neutral', 'the app': 'Positive', 'either 30 or 40 feet': 'Neutral', 'my rating': 'Positive', '5 starts': 'Positive', 'thanks': 'Negative'}",feature_request
love the updates,5,2025-07-15 03:34:14,Google Play,POSITIVE,0.9998706579208374,['the updates'],joy,{'the updates': 'Positive'},review
"easy to use, accurate information",5,2025-07-09 04:38:40,Google Play,POSITIVE,0.9996181726455688,"['easy to use, accurate information']",neutral,"{'easy to use, accurate information': 'Positive'}",review
"unable to adjust and put a number in sqft and built year filter option, slider cannot be adjusted to specific number. for ex. built year can only be either 3 or 1. sqft can only be in 100s. realtor.ca has both edit: please do not ask your users to work for you. you guys can easily take screenshot yourself or just pass on the feedback",1,2025-07-02 07:22:57,Google Play,NEGATIVE,-0.9988973140716553,"['a number', 'sqft', 'slider', 'specific number', '. built year', 'sqft', '100s', 'your users', 'you guys', 'screenshot', 'the feedback']",neutral,"{'a number': 'Negative', 'sqft': 'Negative', 'slider': 'Negative', 'specific number': 'Negative', '. built year': 'Negative', '100s': 'Negative', 'your users': 'Negative', 'you guys': 'Negative', 'screenshot': 'Negative', 'the feedback': 'Negative'}",review
"You used to be able to zoom into a neighborhood or street, and there would be little blue dots signifying that the house had been sold, or is for sale. you could hit the dot, and the listing would pop up. Now it's gone. It would be nice to see just the listings that are NEW today, rather than yesterday's and today's listings shown at once.",1,2025-06-28 18:10:10,Google Play,NEGATIVE,-0.9990770816802979,"['a neighborhood', 'street', 'little blue dots', 'the house', 'sale', 'the dot', 'the listing', 'just the listings', 'yesterday', ""today's listings""]",neutral,"{'a neighborhood': 'Neutral', 'street': 'Neutral', 'little blue dots': 'Negative', 'the house': 'Negative', 'sale': 'Neutral', 'the dot': 'Negative', 'the listing': 'Negative', 'just the listings': 'Negative', 'yesterday': 'Negative', ""today's listings"": 'Negative'}",review
keeps enlarging itself on a tablet,1,2025-06-26 18:33:38,Google Play,POSITIVE,0.9899409413337708,['a tablet'],neutral,{'a tablet': 'Neutral'},review
best real estate app. shows you everything,5,2025-06-25 05:24:29,Google Play,POSITIVE,0.999846339225769,['best real estate app'],neutral,{'best real estate app': 'Positive'},review
love house sigma! the ability to see historical selling prices is so helpful.,4,2025-06-21 20:45:44,Google Play,POSITIVE,0.9989402890205383,"['love house sigma', 'the ability', 'historical selling prices']",neutral,"{'love house sigma': 'Positive', 'the ability': 'Positive', 'historical selling prices': 'Positive'}",review
Very disappointed that they've removed a lot of the market stats now that the market has slowed down. Very shady!,2,2025-06-16 05:15:30,Google Play,NEGATIVE,-0.999724805355072,"['a lot', 'the market stats', 'the market']",disgust,"{'a lot': 'Negative', 'the market stats': 'Negative', 'the market': 'Negative'}",review
