review,rating,date,source,sentiment_label,sentiment_score,topics
great app to search realestate.,5,2025-07-26 05:13:29,Google Play,POSITIVE,0.9995978474617004,"['great app', 'realestate']"
"1... suddenly PUSH notifications have failed. seriously annoying now. Yes I checked my settings 《Fixed 👍》. 2... Trying to delete SAVED SEARCH results in ERROR. 3... SEARCH CRITERIA really needs an overhaul. why cant I select more than one house type? ie: im looking for an acreage, with either house or manufactured home? instead I need to have 2 separate searches. Not a fan of that. 4. There should be a RURAL search filter. (No... not agriculture) This is a good app though it needs developer TLC",3,2025-07-23 04:17:42,Google Play,NEGATIVE,-0.9342398643493652,"['notifications', 'my settings', 'saved search results', 'error', 'search criteria', 'an overhaul', 'more than one house type', 'an acreage', 'either house', '2 separate searches', 'not a fan', 'a rural search filter', 'a good app', 'developer tlc']"
The only app there is!,5,2025-07-20 05:26:31,Google Play,NEGATIVE,-0.9970983266830444,['the only app']
"Love this app. the map lets you look at both city or county, which is great to be able to compare what's in town vs. just outside. The photos load well and quickly, and their listing details are thorough and helpful.",5,2025-07-20 01:21:09,Google Play,POSITIVE,0.9997947812080383,"['this app', 'the map', 'both city', 'county', 'town', 'the photos', 'their listing details']"
slow and laggy. website works better,1,2025-07-19 03:56:52,Google Play,NEGATIVE,-0.9992127418518066,['website']
Great app for property shopping,5,2025-07-19 00:50:28,Google Play,POSITIVE,0.9996562004089355,"['great app', 'property shopping']"
App barely works anymore after last update,1,2025-07-15 07:42:57,Google Play,NEGATIVE,-0.9987297654151917,"['app', 'last update']"
update made it freeze everytime I try filtering results,1,2025-07-14 09:50:29,Google Play,NEGATIVE,-0.9977309107780457,"['update', 'filtering results']"
"what's with the map?? I try to zoom in for specific areas and neighborhoods, but the map doesn't show that detail?!? Please fix this.",1,2025-07-13 23:51:08,Google Play,NEGATIVE,-0.9993060827255249,"['the map', 'specific areas', 'neighborhoods', 'the map', 'that detail']"
"does not work on cell phone. inconsistent performance across mobile, desktop and tablet versions. need filter for age restricted communities too...",1,2025-07-13 20:24:24,Google Play,NEGATIVE,-0.9993689656257629,"['cell phone', 'inconsistent performance', 'mobile, desktop and tablet versions', 'filter', 'age', 'communities']"
"you'd think basic functions such as being able to filter out a shared accommodation would be here, yet its not. very poorly made app",1,2025-07-13 01:04:59,Google Play,NEGATIVE,-0.9997153878211975,"['basic functions', 'a shared accommodation', 'app']"
"App is constantly freezing, It is hard to get the map to open. I find the web version much easier to navigate",1,2025-07-12 17:28:46,Google Play,NEGATIVE,-0.9995715022087097,"['app', 'the map', 'the web version']"
"very easy app to use, though I would like floor plans",4,2025-07-12 17:25:30,Google Play,POSITIVE,0.9270272254943848,"['very easy app', 'floor plans']"
"app constantly crashing, touch is disabled in the mapping portion trying to scan local areas for homes. App was never reliable however now it is unusable. Go and use a browser",1,2025-07-11 02:40:00,Google Play,NEGATIVE,-0.9995504021644592,"['app', 'touch', 'the mapping portion', 'local areas', 'homes', 'app', 'a browser']"
easy to use and is up-to-date,4,2025-07-11 00:29:12,Google Play,POSITIVE,0.9996472597122192,['date']
"Does not work well. I'm able to click on listings, and scroll through the pictures, but unable to save any listings, share, or add to favourites anymore. None of the ""buttons"" at the bottom of the app seem to with anymore.",2,2025-07-10 15:35:58,Google Play,NEGATIVE,-0.9996318817138672,"['listings', 'the pictures', 'any listings', 'favourites', 'the ""buttons', 'the bottom', 'the app']"
"Had this app for a long time, and I loved it but the July 2025 update is messed up! Can't do anything. Can't manipulate the map, can't add filters, can't search. Basically it just freezes. I tried reinstalling (a few times). No change. Whatever they did, it's useless now on my phone.",1,2025-07-10 05:29:59,Google Play,NEGATIVE,-0.9997400641441345,"['this app', 'a long time', 'the july 2025 update', 'the map', 'filters', 'no change', 'my phone']"
good app o bought a house cause of it,4,2025-07-09 21:16:07,Google Play,POSITIVE,0.9986534118652344,"['good app o', 'a house cause']"
"App is buggy and terriblely unresponsive. can't search, cancel buttons fail, can't hit X etc. Garbage really. I can't search other areas and the interface is not responding. Some buttons work and some don't. Edit-Ckeared cache and data. reinstalled. this did nothing. I can see local things. can't search on anything specific, buttons fail. I have wasted enough time on this thing.",1,2025-07-09 15:36:34,Google Play,NEGATIVE,-0.9997374415397644,"['app', 'buttons', 'etc. garbage', 'other areas', 'the interface', 'some buttons work', 'edit-ckeared cache', 'data', 'local things', 'buttons', 'enough time', 'this thing']"
"it stopped working I tried to go into settings, but it literally has no response",1,2025-07-09 07:37:23,Google Play,NEGATIVE,-0.999737560749054,"['settings', 'no response']"
"This app makes it very easy to search for homes in your price range. All the info is there, and contact information for the selected realtor for the area or home that you're viewing!",5,2025-07-09 00:07:51,Google Play,POSITIVE,0.5989694595336914,"['this app', 'homes', 'your price range', 'all the info', 'contact information', 'the selected realtor', 'the area', 'home']"
sooooooo slow,1,2025-07-07 09:14:57,Google Play,NEGATIVE,-0.9996287822723389,[]
I've been using the app for at least a year and then there was an update a few days ago....it is so hard to navigate now and not user friendly.,1,2025-07-07 05:06:55,Google Play,NEGATIVE,-0.9995914101600647,"['the app', 'at least a year', 'an update']"
very good application for renting 👌,5,2025-07-04 22:15:19,Google Play,POSITIVE,0.9987788796424866,"['very good application', 'renting']"
great app,5,2025-07-04 20:16:04,Google Play,POSITIVE,0.999821126461029,['great app']
