review,rating,date,source,sentiment_label,sentiment_score,topics
Great App..always up to date...,5,2025-07-27 08:41:47,Google Play,POSITIVE,0.9998693466186523,"['great app', 'date']"
I have mixed feelings about this app. It's not bad for listings but... that app is very janky. It's rather frustrating to use.,2,2025-07-27 01:48:37,Google Play,NEGATIVE,-0.9981523156166077,"['mixed feelings', 'this app', 'listings', 'that app']"
great app to search realestate.,5,2025-07-26 05:13:29,Google Play,POSITIVE,0.9995978474617004,"['great app', 'realestate']"
"1... suddenly PUSH notifications have failed. seriously annoying now. Yes I checked my settings 《Fixed 👍》. 2... Trying to delete SAVED SEARCH results in ERROR. 3... SEARCH CRITERIA really needs an overhaul. why cant I select more than one house type? ie: im looking for an acreage, with either house or manufactured home? instead I need to have 2 separate searches. Not a fan of that. 4. There should be a RURAL search filter. (No... not agriculture) This is a good app though it needs developer TLC",3,2025-07-23 04:17:42,Google Play,NEGATIVE,-0.9342398643493652,"['notifications', 'my settings', 'saved search results', 'error', 'search criteria', 'an overhaul', 'more than one house type', 'an acreage', 'either house', '2 separate searches', 'not a fan', 'a rural search filter', 'a good app', 'developer tlc']"
The only app there is!,5,2025-07-20 05:26:31,Google Play,NEGATIVE,-0.9970983266830444,['the only app']
"Love this app. the map lets you look at both city or county, which is great to be able to compare what's in town vs. just outside. The photos load well and quickly, and their listing details are thorough and helpful.",5,2025-07-20 01:21:09,Google Play,POSITIVE,0.9997947812080383,"['this app', 'the map', 'both city', 'county', 'town', 'the photos', 'their listing details']"
slow and laggy. website works better,1,2025-07-19 03:56:52,Google Play,NEGATIVE,-0.9992127418518066,['website']
Great app for property shopping,5,2025-07-19 00:50:28,Google Play,POSITIVE,0.9996562004089355,"['great app', 'property shopping']"
App barely works anymore after last update,1,2025-07-15 07:42:57,Google Play,NEGATIVE,-0.9987297654151917,"['app', 'last update']"
update made it freeze everytime I try filtering results,1,2025-07-14 09:50:29,Google Play,NEGATIVE,-0.9977309107780457,"['update', 'filtering results']"
"what's with the map?? I try to zoom in for specific areas and neighborhoods, but the map doesn't show that detail?!? Please fix this.",1,2025-07-13 23:51:08,Google Play,NEGATIVE,-0.9993060827255249,"['the map', 'specific areas', 'neighborhoods', 'the map', 'that detail']"
