review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
"Completely broken and simply does not play videos, and just hangs on the frame. As a result, basically a useless app that doesn't play on mobile. Not sure if it was intentionally designed this way for Android but the fact of the matter is that it's broken.",1,2025-08-04 10:42:22,Google Play,NEGATIVE,-0.9997288584709167,"['videos', 'the frame', 'a result', 'mobile', 'android', 'the fact', 'the matter']",disgust,"{'videos': 'Negative', 'the frame': 'Negative', 'a result': 'Negative', 'mobile': 'Negative', 'android': 'Neutral', 'the fact': 'Negative', 'the matter': 'Negative'}",review
Unable to access MLS season pass subscription via Android.,1,2025-08-04 08:20:18,Google Play,NEGATIVE,-0.9994706511497498,"['mls season', 'subscription']",sadness,"{'mls season': 'Neutral', 'subscription': 'Negative'}",review
"I searched for Apple TV for Android. Downloaded App and added my details for nothing. I clicked on free trial, but it did not work.",1,2025-08-04 08:16:46,Google Play,NEGATIVE,-0.9995896220207214,"['apple tv', 'downloaded app', 'my details', 'free trial']",sadness,"{'apple tv': 'Neutral', 'downloaded app': 'Negative', 'my details': 'Negative', 'free trial': 'Negative'}",feature_request
"Literally unwatchable. When it works, it's ok (although the interface was clearly designed with marketing in mind, rather than usability). But occasionally it decides to stop working, and then whatever episode you're trying to watch will either freeze over 10 seconds, or simply refuse to play at all. if you try to watch a different show or episode it'll work (probably), so this isn't a network issue. Just bad coding that leads to a corrupted local cache.",1,2025-08-04 08:08:53,Google Play,NEGATIVE,-0.9973898530006409,"['the interface', 'marketing', 'mind', 'usability', 'whatever episode', '10 seconds', 'a different show', 'episode', 'a network issue', 'just bad coding', 'a corrupted local cache']",neutral,"{'the interface': 'Negative', 'marketing': 'Negative', 'mind': 'Negative', 'usability': 'Negative', 'whatever episode': 'Negative', '10 seconds': 'Negative', 'a different show': 'Negative', 'episode': 'Negative', 'a network issue': 'Negative', 'just bad coding': 'Negative', 'a corrupted local cache': 'Negative'}",bug_report
worst streaming app,1,2025-08-04 07:43:58,Google Play,NEGATIVE,-0.9997983574867249,['worst streaming app'],disgust,{'worst streaming app': 'Negative'},review
"Leagues Cup was showing on my tablet just fine and then I needed to pause for about 5 mins. When I returned, now I was presented with a message that I needed to subscribe. What the heck? One minute just fine and next not so much. :-( If y'all wanna suck up the rights to various tourneys, you should at least provide a free version for En Vivo. Very disappointed with Apptle TV+.",2,2025-08-04 07:40:11,Google Play,NEGATIVE,-0.999703586101532,"['leagues cup', 'my tablet', 'about 5 mins', 'a message', 'one minute', 'the rights', 'various tourneys', 'a free version', 'en vivo', 'apptle tv+']",surprise,"{'leagues cup': 'Neutral', 'my tablet': 'Positive', 'about 5 mins': 'Neutral', 'a message': 'Negative', 'one minute': 'Positive', 'the rights': 'Negative', 'various tourneys': 'Neutral', 'a free version': 'Positive', 'en vivo': 'Positive', 'apptle tv+': 'Negative'}",review
that app works fine although it tends to sign me out quite often. note: this review has been edited as my primary problem has been fixed,4,2025-08-04 06:39:19,Google Play,NEGATIVE,-0.9426884055137634,"['that app', 'this review', 'my primary problem']",neutral,"{'that app': 'Positive', 'this review': 'Neutral', 'my primary problem': 'Negative'}",bug_report
Poe Guappo the Great 😃 at show somewhere and it's bout to begin help for streaming details cb Auntie's,5,2025-08-04 06:24:02,Google Play,NEGATIVE,-0.8499454259872437,"['poe', 'the great 😃', 'help', 'streaming details cb auntie']",neutral,"{'poe': 'Positive', 'the great 😃': 'Neutral', 'help': 'Neutral', 'streaming details cb auntie': 'Negative'}",review
"Where are my iTunes purchases? I have over 800 movies in my iTunes and I should have access to all of them regardless of what device I'm using. I have zero problems accessing them on my other devices that are Apple devices, so why is it not showing up here? it's linked to my Account. Apple needs to fix this.",2,2025-08-04 06:03:22,Google Play,NEGATIVE,-0.9974356293678284,"['my itunes purchases', 'over 800 movies', 'my itunes', 'access', 'what device', 'zero problems', 'my other devices', 'apple devices', 'my account', 'apple']",neutral,"{'my itunes purchases': 'Negative', 'over 800 movies': 'Positive', 'my itunes': 'Negative', 'access': 'Negative', 'what device': 'Negative', 'zero problems': 'Positive', 'my other devices': 'Negative', 'apple devices': 'Negative', 'my account': 'Negative', 'apple': 'Negative'}",bug_report
Awesome!!!,5,2025-08-04 05:39:58,Google Play,POSITIVE,0.999871015548706,[],joy,{},review
